City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,sagua la grande,22.8067,-80.0756,17.55,71,8,1.41,CU,1706671199
290,kargasok,59.0556,80.8572,-12.8,94,100,4.92,RU,1706671200
291,griffith,41.5284,-87.4237,3.96,90,100,6.17,US,1706671200
292,dubbo,-32.25,148.6167,36.07,36,40,5.14,AU,1706671200
293,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,100,1.96,RU,1706671200
294,nouadhibou,20.931,-17.0347,17.99,55,0,6.69,MR,1706671201
295,rustenburg,-25.6676,27.2421,20.09,64,29,3.59,ZA,1706671201
296,feijo,-8.1642,-70.3536,23.83,98,100,0.6,BR,1706671201
297,ust'-ilimsk,58.0006,102.6619,-26.98,87,29,0.89,RU,1706671201
298,hami,42.8,93.45,-2.7,50,100,2.71,CN,1706671202
299,qandala,11.472,49.8728,24.15,78,75,0.49,SO,1706671202
300,antalaha,-14.9003,50.2788,23.82,87,81,2.59,MG,1706671202
301,pacific grove,36.6177,-121.9166,14.12,88,20,3.6,US,1706671202
302,dudinka,69.4058,86.1778,-17.99,84,100,9.39,RU,1706671203
303,brokopondo,4.75,-55.1667,25.07,87,63,3.23,SR,1706671203
304,high river,50.5834,-113.8687,5.05,83,100,3.03,CA,1706670985
305,nerekhta,57.4588,40.5747,-10.06,99,75,2.44,RU,1706671203
306,pangoa,-12.1167,-73.0,21.65,99,100,0.48,PE,1706671204
307,kourou,5.1552,-52.6478,26.03,89,9,3.4,GF,1706671204
308,dryden,49.7833,-92.7503,-0.84,93,20,4.12,CA,1706671204
309,mount pearl,47.5166,-52.7813,-5.38,84,100,7.2,CA,1706671204
310,lokot',52.565,34.5776,-5.29,93,100,2.41,RU,1706671205
311,al kharijah,25.4514,30.5464,7.27,50,0,2.15,EG,1706670976
312,gizo,-8.103,156.8419,28.72,73,93,5.82,SB,1706671205
313,necochea,-38.5473,-58.7368,19.55,90,87,2.5,AR,1706671205
314,pechora,65.1472,57.2244,-4.52,97,99,1.79,RU,1706671205
315,sereflikochisar,38.9393,33.5386,-0.22,70,97,7.24,TR,1706671206
316,tchollire,8.4022,14.1698,20.11,22,17,1.02,CM,1706671206
317,tarinkot,32.6268,65.8733,6.85,49,68,1.45,AF,1706671206
318,fujin,47.26,132.0322,-17.55,76,100,5.11,CN,1706670992
319,puerto colombia,10.9878,-74.9547,26.05,86,64,12.26,CO,1706671207
320,galle,6.0367,80.217,26.67,79,17,1.78,LK,1706671207
321,port lincoln,-34.7333,135.8667,20.04,57,0,5.38,AU,1706671208
322,borshchiv,48.8033,26.0435,-4.6,92,77,0.92,UA,1706671208
323,laguna,38.421,-121.4238,17.32,72,0,3.6,US,1706671208
324,san andres,12.5847,-81.7006,27.01,83,20,4.12,CO,1706671208
325,isla vista,34.4133,-119.861,17.13,80,0,2.06,US,1706671209
326,sotkamo,64.1333,28.4167,0.01,97,91,4.54,FI,1706671209
327,bay city,43.5945,-83.8889,1.18,96,100,1.03,US,1706670995
328,lautoka,-17.6167,177.4667,28.92,79,75,4.63,FJ,1706671209
